NOME,DATETIME,TEMPERATURA_MEDIA,LATITUDE,LONGITUDE,ALTITUDE
CWB,2020-01-01,24.7,-25.4486111,-49.23055554,922.91
CWB,2020-01-02,21.4,-25.4486111,-49.23055554,922.91
CWB,2020-01-03,19.1,-25.4486111,-49.23055554,922.91
CWB,2020-01-04,18.3,-25.4486111,-49.23055554,922.91
CWB,2020-01-05,19.7,-25.4486111,-49.23055554,922.91
CWB,2020-01-06,23.1,-25.4486111,-49.23055554,922.91
CWB,2020-01-07,23.4,-25.4486111,-49.23055554,922.91
CWB,2020-01-08,23.0,-25.4486111,-49.23055554,922.91
CWB,2020-01-09,23.3,-25.4486111,-49.23055554,922.91
CWB,2020-01-10,23.7,-25.4486111,-49.23055554,922.91
CWB,2020-01-11,23.5,-25.4486111,-49.23055554,922.91
CWB,2020-01-12,22.5,-25.4486111,-49.23055554,922.91
CWB,2020-01-13,21.7,-25.4486111,-49.23055554,922.91
CWB,2020-01-14,20.6,-25.4486111,-49.23055554,922.91
CWB,2020-01-15,22.5,-25.4486111,-49.23055554,922.91
CWB,2020-01-16,23.2,-25.4486111,-49.23055554,922.91
CWB,2020-01-17,16.4,-25.4486111,-49.23055554,922.91
CWB,2020-01-18,17.5,-25.4486111,-49.23055554,922.91
CWB,2020-01-19,19.6,-25.4486111,-49.23055554,922.91
CWB,2020-01-20,21.2,-25.4486111,-49.23055554,922.91
CWB,2020-01-21,20.3,-25.4486111,-49.23055554,922.91
CWB,2020-01-22,18.0,-25.4486111,-49.23055554,922.91
CWB,2020-01-23,17.9,-25.4486111,-49.23055554,922.91
CWB,2020-01-24,18.6,-25.4486111,-49.23055554,922.91
CWB,2020-01-25,20.7,-25.4486111,-49.23055554,922.91
CWB,2020-01-26,23.2,-25.4486111,-49.23055554,922.91
CWB,2020-01-27,24.6,-25.4486111,-49.23055554,922.91
CWB,2020-01-28,21.7,-25.4486111,-49.23055554,922.91
CWB,2020-01-29,22.8,-25.4486111,-49.23055554,922.91
CWB,2020-01-30,22.8,-25.4486111,-49.23055554,922.91
CWB,2020-01-31,24.1,-25.4486111,-49.23055554,922.91
CWB,2020-02-01,23.1,-25.4486111,-49.23055554,922.91
CWB,2020-02-02,19.7,-25.4486111,-49.23055554,922.91
CWB,2020-02-03,19.4,-25.4486111,-49.23055554,922.91
CWB,2020-02-04,19.3,-25.4486111,-49.23055554,922.91
CWB,2020-02-05,20.6,-25.4486111,-49.23055554,922.91
CWB,2020-02-06,21.6,-25.4486111,-49.23055554,922.91
CWB,2020-02-07,20.7,-25.4486111,-49.23055554,922.91
CWB,2020-02-08,22.7,-25.4486111,-49.23055554,922.91
CWB,2020-02-09,22.7,-25.4486111,-49.23055554,922.91
CWB,2020-02-10,17.5,-25.4486111,-49.23055554,922.91
CWB,2020-02-11,17.0,-25.4486111,-49.23055554,922.91
CWB,2020-02-12,18.2,-25.4486111,-49.23055554,922.91
CWB,2020-02-13,19.1,-25.4486111,-49.23055554,922.91
CWB,2020-02-14,20.2,-25.4486111,-49.23055554,922.91
CWB,2020-02-15,22.6,-25.4486111,-49.23055554,922.91
CWB,2020-02-16,23.7,-25.4486111,-49.23055554,922.91
CWB,2020-02-17,24.6,-25.4486111,-49.23055554,922.91
CWB,2020-02-18,25.5,-25.4486111,-49.23055554,922.91
CWB,2020-02-19,23.9,-25.4486111,-49.23055554,922.91
CWB,2020-02-20,24.5,-25.4486111,-49.23055554,922.91
CWB,2020-02-21,21.5,-25.4486111,-49.23055554,922.91
CWB,2020-02-22,16.4,-25.4486111,-49.23055554,922.91
CWB,2020-02-23,17.2,-25.4486111,-49.23055554,922.91
CWB,2020-02-24,19.0,-25.4486111,-49.23055554,922.91
CWB,2020-02-25,20.2,-25.4486111,-49.23055554,922.91
CWB,2020-02-26,20.1,-25.4486111,-49.23055554,922.91
CWB,2020-02-27,16.9,-25.4486111,-49.23055554,922.91
CWB,2020-02-28,17.1,-25.4486111,-49.23055554,922.91
CWB,2020-02-29,17.8,-25.4486111,-49.23055554,922.91
CWB,2020-03-01,17.0,-25.4486111,-49.23055554,922.91
CWB,2020-03-02,17.3,-25.4486111,-49.23055554,922.91
CWB,2020-03-03,17.2,-25.4486111,-49.23055554,922.91
CWB,2020-03-04,18.3,-25.4486111,-49.23055554,922.91
CWB,2020-03-05,18.6,-25.4486111,-49.23055554,922.91
CWB,2020-03-06,18.1,-25.4486111,-49.23055554,922.91
CWB,2020-03-07,18.4,-25.4486111,-49.23055554,922.91
CWB,2020-03-08,19.0,-25.4486111,-49.23055554,922.91
CWB,2020-03-09,20.5,-25.4486111,-49.23055554,922.91
CWB,2020-03-10,20.0,-25.4486111,-49.23055554,922.91
CWB,2020-03-11,20.8,-25.4486111,-49.23055554,922.91
